"","hit","px","pz"
"229",1,-98.76,34.75
"230",1,-100.425,31.45
"231",2,-95.365,41.89
"232",1,-96.7,33.74
"233",2,-102.91,46.78
"234",2,-97.395,37.2
"235",2,-94.915,39.13
"236",2,-95.415,45.325
"237",4,-95.635,42.825
"238",2,-94.375,44.425
"239",3,-92.48,45.5
"240",2,-93.46,44.765
"241",2,-99.35,39.725
"242",2,-96.925,40.605
"243",2,-100.1,39.765
"244",2,-103.44,47.81
"245",4,-100,47.125
"246",1,-96.15,45.845
"247",1,-100.165,39.915
"248",1,-97.805,35.35
"249",1,-102.79,41.045
"250",2,-93.97,33.46
"251",2,-93.97,33.46
"252",2,-96.475,46.775
"253",2,-79.69,41.925
"254",3,-104.065,46.995
"255",3,-104.15,46.985
"256",3,-103.965,47.01
"257",2,-98.585,47
"258",3,-98.485,39.025
"259",1,-74.335,40.21
"260",3,-96.83,41.36
"261",4,-96.4,41.075
"262",2,-97.465,35.825
"263",2,-93.25,38.69
"264",1,-96.075,45.58
"265",1,-77.225,39.025
"266",3,-94.875,40.51
"267",2,-94.15,34.76
"268",2,-95.19,30.925
"269",3,-87.015,37.815
"270",3,-87.035,37.805
"271",3,-86.75,37.94
"272",2,-92.135,33.85
"273",2,-86.1,33.435
"274",2,-79.71,34.07
"275",2,-82.135,27.89
"276",1,-83.485,31.515
"277",2,-90.69,31.835
"278",3,-87.95,31.55
"279",3,-90.575,30.505
"280",1,-96.945,34.475
"281",1,-89.825,33.61
"282",2,-88.94,34.3
"283",1,-88.805,34.175
"284",2,-87.01,34.4
"285",4,-99.865,33.35
"286",2,-97.85,34.92
"287",3,-96.96,34.12
"288",3,-93.66,35.385
"289",2,-91.965,36.03
"290",3,-93.2,35.34
"291",2,-88.415,34.685
"292",2,-89.265,35.57
"293",2,-88.605,35.47
"294",3,-88.795,35.64
"295",2,-89.1,38.51
"296",3,-77.835,35.76
"297",2,-85.1,41.04
"298",1,-84.885,40.75
"299",1,-95.795,41.99
"300",1,-90.6,34.33
"301",3,-94.315,43.285
"302",2,-92.585,41.965
"303",2,-92.045,32.31
"304",2,-92.185,31.775
"305",1,-89.185,32.225
"306",2,-89.415,36.04
"307",2,-91.01,32.985
"308",0,-97.765,37.15
"309",1,-93.975,38.475
"310",2,-89.4,40.15
"311",3,-86.725,40.25
"312",3,-87.87,40.215
"313",3,-87.11,40.26
"314",2,-97.755,35.4
"315",3,-85.25,32.54
"316",3,-85.29,32.55
"317",3,-84.96,32.49
"318",2,-90.42,32.15
"319",3,-98.5,29.565
"320",2,-92.475,32.55
"321",2,-83.66,32.65
"322",4,-85.84,33.26
"323",4,-84.75,35.525
"324",2,-88.45,34.95
"325",1,-89.09,30.875
"326",2,-88.51,33.17
"327",1,-98.215,44.4
"328",1,-97.495,44.62
"329",3,-97.85,39.89
"330",3,-97.31,40.51
"331",1,-99.825,34.9
"332",1,-97.36,37.625
"333",2,-97.36,37.19
"334",2,-97.37,37.18
"335",2,-97.61,36.99
"336",3,-96.36,38.64
"337",1,-96.65,37.38
"338",1,-95.9,40.115
"339",2,-93.15,35.275
"340",4,-93.28,40.9
"341",2,-95.74,45.545
"342",4,-93.45,43.26
"343",2,-93.135,43.775
"344",4,-91.41,44.475
"345",4,-92.39,43.475
"346",4,-92.115,43.675
"347",3,-91.305,43
"348",4,-91.135,44.85
"349",2,-92.21,45.54
"350",4,-100.5,31.53
"351",5,-97.015,31.65
"352",2,-96.145,31.345
"353",2,-88.525,33.71
"354",2,-92.08,30.485
"355",3,-95.61,31.24
"356",2,-92.765,32.04
"357",2,-92.56,32.3
"358",1,-77.79,38.87
"359",3,-91.44,32.61
"360",2,-85.72,41.815
"361",3,-93.01,42.79
"362",3,-91.295,42.03
"363",4,-82.51,42.95
"364",2,-104.21,44.115
"365",0,-103.885,44.025
"366",5,-100.57,46.54
"367",2,-97.595,44.665
"368",2,-96.9,47.175
"369",2,-98.625,46.685
"370",2,-79.165,40.4
"371",1,-81.005,33.51
"372",2,-101.485,42.69
"373",2,-101.165,45.01
"374",0,-111.815,40.965
"375",2,-83.825,43.4
"376",3,-97.06,34.55
"377",0,-99.73,39.55
"378",2,-99.22,41.28
"379",2,-98.21,40.825
"380",0,-98.185,40.855
"381",1,-97.115,41.31
"382",4,-99.09,41.45
"383",2,-98.5,41.575
"384",2,-97.01,41.385
"385",3,-98.02,41.76
