"","hit","px","pz"
"2175",1,-101.795,35.205
"2176",1,-104.12,41.24
"2177",1,-101.5,34.775
"2178",1,-102.195,38.1
"2179",2,-102.72,41.975
"2180",3,-100.46,38.28
"2181",2,-100.62,38.29
"2182",1,-100.595,38.26
"2183",2,-101.45,33.25
"2184",1,-102.695,40.24
"2185",1,-101.71,39.31
"2186",1,-102.76,37.515
"2187",0,-101.865,38.085
"2188",2,-90.8,44.96
"2189",1,-98.03,27.88
"2190",2,-87.915,40.2
"2191",2,-87.01,30.635
"2192",2,-99.045,45.925
"2193",2,-97.54,44.685
"2194",2,-72.535,43.335
"2195",2,-72.415,43.3
"2196",2,-72.45,43.285
"2197",2,-72.365,43.315
"2198",1,-70.585,43.89
"2199",2,-104.625,46.44
"2200",2,-87.275,41.555
"2201",1,-94.85,39.915
"2202",1,-70.865,42.5
"2203",3,-97.64,41.25
"2204",0,-101.215,34.3
"2205",1,-102.095,31.975
"2206",1,-102.135,32
"2207",2,-106.065,48.825
"2208",4,-95.725,39.45
"2209",3,-95.215,38.765
"2210",2,-77.86,38.2
"2211",1,-103.05,45.9
"2212",1,-91.565,45.29
"2213",2,-69.615,45.03
"2214",2,-92.385,43.865
"2215",1,-122.275,47.51
"2216",1,-94.275,37.865
"2217",1,-90.29,44.33
"2218",2,-71.935,42.105
"2219",1,-97.925,29.73
"2220",2,-81.845,29.175
"2221",3,-86.9,35.765
"2222",1,-89.875,29.935
"2223",2,-84.29,32.91
"2224",2,-85.815,38.705
"2225",2,-87.765,31.735
"2226",1,-85.94,31.275
"2227",2,-84.165,32.275
"2228",1,-84.475,31.735
"2229",2,-83.665,32.5
"2230",1,-83.515,31.95
"2231",1,-99.065,34.4
"2232",4,-86.86,33.425
"2233",1,-85.34,34.075
"2234",1,-85.45,34.025
"2235",1,-85.31,34.12
"2236",4,-86.725,34.04
"2237",2,-87.355,35.29
"2238",2,-87.48,35.15
"2239",4,-89.335,33.36
"2240",2,-86.77,34.86
"2241",2,-85.745,35.65
"2242",2,-85.625,35.075
"2243",2,-87.76,34.21
"2244",2,-83.07,36.015
"2245",1,-85.655,32.885
"2246",2,-93.56,33.265
"2247",1,-95.91,43.275
"2248",1,-95.19,43.145
"2249",3,-87.135,32.94
"2250",1,-84.695,33.68
"2251",2,-86.505,36.585
"2252",2,-85.215,39.6
"2253",2,-84.875,35.19
"2254",2,-84.625,35.465
"2255",2,-76.69,40.025
"2256",2,-83.5,31
"2257",4,-87.485,41.13
"2258",4,-87.86,41.155
"2259",2,-85.675,41.05
"2260",4,-87.2,41.105
"2261",2,-85.32,41
"2262",2,-94.605,41.35
"2263",1,-91.2,40.905
"2264",2,-87.605,38.585
"2265",2,-87.68,38.585
"2266",2,-87.555,38.62
"2267",2,-80.72,41.03
"2268",2,-85.765,38.835
"2269",3,-86.06,38.66
"2270",1,-84.92,39.84
"2271",2,-96.77,33.165
"2272",3,-89.44,39.85
"2273",3,-88.45,39.975
"2274",3,-87.885,39.8
"2275",3,-87.9,39.8
"2276",3,-87.515,39.8
"2277",1,-100.91,32.75
"2278",2,-100.76,32.765
"2279",1,-100.665,32.675
"2280",3,-95.855,40.415
"2281",2,-96.9,41.625
"2282",2,-96.12,39.9
"2283",1,-97.505,40.825
"2284",2,-97.1,40.09
"2285",1,-91.92,32.94
"2286",3,-90.52,34.425
"2287",2,-89.86,37.105
"2288",2,-86.71,32.54
"2289",3,-87.22,39.635
"2290",3,-89.135,35.825
"2291",4,-88.685,34.135
"2292",2,-86.435,32.19
"2293",1,-91.85,32.935
"2294",3,-86.39,40.655
"2295",3,-87.25,39.075
"2296",3,-87.545,36.87
"2297",2,-88.04,34.085
"2298",2,-87.175,35.03
"2299",2,-85.1,32.45
"2300",2,-85.55,30.62
"2301",1,-93.575,42.25
"2302",1,-71.5,42.975
"2303",2,-93.795,43.25
"2304",2,-96.06,42.26
"2305",2,-70.915,43.285
"2306",2,-70.915,43.285
"2307",2,-70.83,43.27
"2308",2,-90.31,37.685
"2309",2,-77.05,35.65
"2310",2,-72.585,42.41
"2311",1,-71.89,42.88
"2312",2,-72.165,42.325
"2313",3,-103.01,34.305
"2314",1,-98.525,36.115
"2315",3,-97.165,35.64
"2316",1,-97.385,35.75
"2317",2,-94.835,37.485
"2318",2,-102.28,33.425
"2319",0,-96.65,42.74
"2320",1,-101.765,34.135
"2321",0,-100.3,37.25
"2322",0,-100.4,44.515
"2323",3,-101.715,43.215
"2324",2,-88.56,43.335
"2325",2,-98.875,41.65
"2326",2,-71.45,42.935
"2327",2,-97.025,42.48
"2328",2,-93.625,44.155
"2329",0,-76.3,43.145
"2330",1,-88.45,43.605
"2331",2,-90.435,31.235
"2332",1,-95.68,47.64
"2333",2,-97.685,28.24
"2334",1,-79.395,42.125
"2335",1,-104.615,43.56
"2336",0,-69.385,44.875
"2337",2,-94.71,44.05
"2338",1,-96.175,43.415
"2339",3,-103.405,44.965
"2340",1,-77.25,39.495
"2341",1,-72.45,41.505
"2342",2,-85.285,44.185
"2343",1,-93.14,44.935
"2344",1,-95.825,37.735
"2345",1,-98.845,45.735
"2346",2,-82.75,27.815
"2347",3,-89.62,43.3
"2348",3,-89.62,43.3
"2349",3,-89.62,43.3
"2350",2,-98.995,41.47
"2351",2,-89.88,42.72
"2352",2,-89.655,43.175
"2353",1,-89.565,43.185
"2354",0,-89.16,42.09
"2355",3,-78.65,41.435
"2356",2,-82.02,32.825
"2357",2,-80.175,33.9
"2358",2,-78.715,34.87
"2359",2,-78.85,34.845
"2360",2,-79.235,34.445
"2361",2,-79.01,35.125
"2362",2,-76.85,35.105
"2363",2,-97.685,36.2
"2364",1,-102.45,40.4
"2365",2,-101.65,38.425
"2366",1,-93.885,32.85
"2367",1,-81.865,28.04
"2368",2,-90.33,36.225
"2369",4,-86.405,33.325
"2370",2,-96.305,29.61
"2371",3,-93.35,33.4
"2372",2,-90.25,36.08
"2373",2,-89.675,35.35
"2374",2,-89.635,35.51
"2375",3,-88.135,35.215
"2376",4,-88.325,36.79
"2377",3,-88.84,36.695
"2378",1,-90.215,38.41
"2379",2,-89.6,38.54
"2380",1,-92.845,35
"2381",3,-87.6,34.55
"2382",3,-87.35,34.875
"2383",1,-74.66,40.015
"2384",1,-95.315,29.815
"2385",1,-82.745,27.765
"2386",3,-90.62,37.15
"2387",2,-88.61,38.19
"2388",3,-87.225,34.185
"2389",2,-85.42,38.34
"2390",1,-95.065,38.96
"2391",2,-89.49,39.685
"2392",2,-89.53,39.435
"2393",3,-96.565,34.015
"2394",5,-98.465,33.915
"2395",2,-95.465,32.675
"2396",2,-92.74,32.485
"2397",2,-86.79,34.26
"2398",2,-86.055,34.325
"2399",1,-86.56,34.365
"2400",3,-95.355,38.975
"2401",3,-94.945,39.305
"2402",3,-94.95,39.265
"2403",4,-95.215,38.245
"2404",3,-94.875,39.34
"2405",4,-95.165,40.75
"2406",1,-95.315,37.045
"2407",2,-94.4,40.97
"2408",1,-94.395,39.71
"2409",3,-94.26,38.8
"2410",1,-94.735,37.915
"2411",2,-93.7,38.625
"2412",2,-94.9,40.33
"2413",2,-92.47,43.975
"2414",2,-95.25,29.81
"2415",1,-96.465,40.825
"2416",2,-97.015,39.525
"2417",2,-95.445,40.765
"2418",3,-94.985,41.4
"2419",2,-95.265,37.765
"2420",3,-90.605,40.46
"2421",1,-99.25,39.455
"2422",3,-98.605,38.325
"2423",2,-97.445,36.535
"2424",1,-97.325,36.6
"2425",3,-95.815,33.465
"2426",2,-95.56,33.65
"2427",1,-94.3,32.85
"2428",3,-93.865,32.48
"2429",2,-97.745,40.31
"2430",2,-94.175,31.79
"2431",2,-98.815,40.965
"2432",2,-98.17,42.14
"2433",2,-94.135,40.94
"2434",2,-93.69,42.625
"2435",2,-85.98,41.465
"2436",2,-85.885,33.775
"2437",3,-85.24,33.73
"2438",3,-85.285,33.73
"2439",3,-85.375,33.73
"2440",1,-85.86,32.855
"2441",2,-86.44,32.015
"2442",2,-96.16,30.315
"2443",2,-101.685,43.925
"2444",2,-90.865,44.16
"2445",2,-91.495,42.135
"2446",2,-91.135,43.27
"2447",2,-91.01,43.335
"2448",2,-91.21,42.355
"2449",2,-90.24,43.9
"2450",2,-98.575,38.645
"2451",4,-98.155,41.735
"2452",2,-98.11,41.52
"2453",2,-96.845,45.835
"2454",3,-96.585,46.09
"2455",3,-96.585,46.09
"2456",3,-96.57,46.13
"2457",3,-95.925,42.85
"2458",5,-97.82,40.95
"2459",2,-95.965,46.615
"2460",3,-94.755,45.615
"2461",3,-98.615,37.935
"2462",3,-98.34,37.225
"2463",2,-100.075,45.8
"2464",2,-99.775,35.515
"2465",2,-99.765,46.31
"2466",2,-99.475,35.76
"2467",2,-100.675,38.585
"2468",1,-97.755,36.735
"2469",0,-98.4,35.14
"2470",2,-96.775,41.335
"2471",2,-90.175,44.24
"2472",3,-91.875,42.615
"2473",2,-92.265,42.495
"2474",1,-100.765,32.415
"2475",1,-97.4,43.26
"2476",3,-96.075,42.8
"2477",2,-95.39,43.455
"2478",4,-82.79,42.67
"2479",2,-83.415,41.815
"2480",2,-89.475,44.75
"2481",2,-88.825,44.605
"2482",2,-89.795,43.865
"2483",2,-90.56,43.53
"2484",2,-88.445,44.225
"2485",2,-85.365,44.935
"2486",2,-83.75,45.39
"2487",2,-98.415,35.25
"2488",0,-96.71,34.285
"2489",1,-100.865,38.5
"2490",0,-118.49,45.925
"2491",1,-96.66,41.3
"2492",2,-91.115,44.49
"2493",2,-97.15,40.8
"2494",0,-95.95,34.77
"2495",3,-104.555,36.525
"2496",1,-83.535,30.135
"2497",2,-81.675,30.41
"2498",2,-100.69,45.115
"2499",1,-97.78,40.225
"2500",2,-97.075,46.46
"2501",2,-96.82,40.45
"2502",1,-95.02,46.565
"2503",2,-88.015,45.115
"2504",2,-102.975,34.485
"2505",2,-103.09,34.39
"2506",2,-102.935,34.475
"2507",1,-84.66,38.215
"2508",1,-103.1,34.69
"2509",2,-102.975,34.425
"2510",2,-98.785,38.695
"2511",2,-98.4,39.515
"2512",2,-92.56,40.7
"2513",2,-84.085,41.005
"2514",2,-84.18,38.36
"2515",1,-76.64,42.335
"2516",2,-85.165,37.1
"2517",1,-92.415,36.45
"2518",2,-99.77,45.385
"2519",1,-98.88,44.895
"2520",1,-98,46.935
"2521",3,-95.42,45.665
"2522",1,-94.885,45.15
"2523",1,-94.975,45.36
"2524",2,-91.69,45.425
"2525",3,-95.265,40.775
"2526",3,-94.965,40.78
"2527",1,-100.44,40.05
"2528",3,-97.3,38.99
"2529",2,-96.88,43.235
"2530",2,-96.815,43.555
"2531",2,-93.875,41.625
"2532",3,-95.54,40.79
"2533",4,-95.34,40.735
"2534",2,-93.88,40.99
"2535",2,-92.85,41.435
"2536",1,-92.75,41.075
"2537",1,-70.765,42.09
"2538",2,-90.405,45.195
"2539",1,-87.6,38.365
"2540",2,-79.435,37.005
"2541",2,-79.23,36.46
"2542",2,-98.16,44.885
"2543",1,-72.28,42.6
"2544",1,-95.715,43.65
"2545",2,-91.44,34.4
"2546",2,-91.44,34.4
"2547",1,-92.21,29.855
"2548",0,-122.05,47.525
"2549",1,-94.095,33.7
"2550",1,-95.505,39.885
"2551",2,-84.365,41.825
"2552",2,-89.55,44.335
"2553",1,-85.06,42.36
"2554",1,-95.605,31.725
"2555",1,-102.83,30.75
"2556",1,-98.3,39.405
"2557",0,-97.32,36.13
"2558",2,-92.34,44.305
"2559",1,-92.065,45.64
"2560",1,-111.825,39.14
"2561",3,-79.605,34.86
"2562",4,-94.15,43.02
"2563",2,-93.365,43.425
"2564",1,-77.33,35.775
"2565",1,-98.98,38.885
"2566",3,-99.295,38.86
"2567",3,-90.475,43.25
"2568",1,-88.435,43.365
"2569",2,-95.885,42.78
"2570",1,-96.045,48.445
"2571",1,-96.135,46.915
"2572",1,-94.795,46.525
"2573",2,-95.175,40.725
"2574",1,-102.065,34.015
"2575",2,-90.12,29.98
"2576",2,-89.635,30.815
"2577",1,-86.75,31.65
"2578",2,-76.585,35.885
"2579",2,-78.475,34.485
"2580",2,-98.57,37.495
"2581",2,-90.715,34.24
"2582",2,-90.8,34.325
"2583",2,-90.665,34.265
"2584",2,-90.21,34.3
"2585",2,-90.7,33.585
"2586",2,-91.96,31.165
"2587",1,-92.725,32.31
"2588",2,-86.85,31.815
"2589",3,-84.375,33.49
"2590",0,-86.39,31.19
"2591",3,-86.5,30.46
"2592",2,-83.565,31.57
"2593",1,-86.725,36.095
"2594",3,-83.835,32.81
"2595",1,-93.825,32.515
"2596",1,-93.94,34.015
"2597",3,-91.435,34.265
"2598",2,-88.205,38.115
"2599",3,-94.38,31.795
"2600",2,-95.025,31.5
"2601",2,-94.325,31.975
"2602",2,-94.23,32.175
"2603",0,-94.005,32.365
"2604",1,-93.6,32.25
"2605",3,-93.84,32.35
"2606",1,-93.96,32.21
"2607",2,-92.635,32.61
"2608",2,-90.2,34.935
"2609",2,-90.32,34.91
"2610",2,-90.905,34.585
"2611",2,-90.15,34.945
"2612",2,-89.07,32.645
"2613",1,-80.15,26.34
"2614",3,-80.145,26.135
"2615",2,-90.185,31.34
"2616",4,-97.475,36.925
"2617",4,-97.71,36.8
"2618",4,-97.085,37.125
"2619",1,-97.135,36.26
"2620",3,-96.815,32.025
"2621",3,-88.675,34.56
"2622",3,-88.39,33.42
"2623",3,-87.435,34.85
"2624",1,-83.74,39.925
"2625",3,-76.885,35.115
"2626",2,-82.99,33.485
"2627",1,-88.88,32.93
"2628",1,-97.8,27.745
"2629",2,-99.095,35.3
"2630",1,-92.915,36.8
"2631",1,-84.89,34.165
"2632",1,-98.96,34.435
"2633",2,-98.09,35.125
"2634",2,-83.67,39.18
"2635",3,-82.585,38.35
"2636",3,-82.615,38.36
"2637",3,-82.55,38.34
"2638",3,-94.935,39.545
"2639",3,-95.085,39.445
"2640",3,-94.875,39.575
"2641",2,-94.345,39.825
"2642",2,-93.625,40.13
"2643",2,-93.69,40
"2644",4,-92.425,35.075
"2645",4,-90.7,42.51
"2646",1,-91.765,43.105
"2647",1,-89.585,42.615
"2648",2,-88.79,43.115
"2649",1,-90.785,43.35
"2650",4,-88.28,42.25
"2651",2,-87.97,42.375
"2652",1,-88.525,42.585
"2653",3,-86.275,41.49
"2654",4,-85.685,43.11
"2655",3,-86.89,41.425
"2656",4,-85.9,41.61
"2657",4,-85.485,41.675
"2658",4,-84.32,41.905
"2659",4,-85.125,41.74
"2660",4,-84.275,41.915
"2661",1,-85.63,42.72
"2662",4,-86.615,40.375
"2663",4,-85.85,41.665
"2664",4,-85.925,40.46
"2665",3,-85.46,42.37
"2666",3,-85.185,42.71
"2667",4,-84.235,41.94
"2668",4,-86.445,40.095
"2669",4,-84.88,40.66
"2670",4,-85.09,40.625
"2671",4,-84.44,42.89
"2672",2,-84.8,43.315
"2673",2,-83.775,43.585
"2674",2,-83.555,43.61
"2675",4,-84.59,40.735
"2676",4,-83.535,41.7
"2677",4,-83.55,41.695
"2678",4,-83.9,40.875
"2679",4,-83.485,41.725
"2680",4,-84.205,40.365
"2681",3,-82.99,41.095
"2682",4,-82.04,41.28
"2683",1,-81.785,41.24
"2684",2,-83.05,40.42
"2685",1,-82.665,39.775
"2686",2,-97.47,29.875
"2687",2,-84.885,36.385
"2688",3,-85.025,35.87
"2689",3,-84.81,35.24
"2690",3,-85.665,34.7
"2691",2,-84.04,35.91
"2692",2,-84.02,34.375
"2693",2,-85.675,40.55
"2694",1,-90.5,41.19
"2695",1,-90.435,41.31
"2696",3,-89.56,41.125
"2697",2,-84.65,37.235
"2698",1,-80.46,35.665
"2699",0,-102.22,36.05
"2700",2,-95.63,43.285
"2701",1,-96.425,44.72
"2702",4,-94.375,42.335
"2703",2,-97.065,46.85
"2704",2,-95.46,46.375
"2705",1,-94.19,44.585
"2706",3,-91.485,43.785
"2707",3,-91.685,43.71
"2708",4,-92.425,43.365
"2709",2,-92.645,45.825
"2710",3,-91.15,43.995
"2711",2,-92.485,43.65
"2712",2,-92.04,45.605
"2713",4,-93.74,44.875
"2714",4,-93.53,44.9
"2715",3,-94.12,44.79
"2716",2,-93.925,44.75
"2717",2,-99.725,34.86
"2718",4,-93.255,45.08
"2719",4,-93.23,45.075
"2720",3,-98.7,41.115
"2721",4,-98.46,41.78
"2722",2,-99.48,42.675
"2723",3,-97.445,40.445
"2724",1,-100.5,42.13
"2725",3,-99,42.415
"2726",5,-99.675,43.215
"2727",2,-99.815,43.2
"2728",2,-99.815,42.585
"2729",2,-100.015,42.635
"2730",4,-98.075,41.685
"2731",1,-98.185,40.98
"2732",2,-97.25,41.575
"2733",2,-97.535,43.965
"2734",1,-96.775,42.3
"2735",2,-96.86,43.795
"2736",2,-99.265,43.695
"2737",2,-94.385,35.375
"2738",2,-78.925,33.865
"2739",2,-99.915,32
"2740",1,-102.7,32.3
"2741",3,-97.415,37.575
"2742",3,-99.725,32.515
"2743",1,-100.425,32.25
"2744",2,-79.475,42.1
"2745",1,-82.415,39.92
"2746",2,-97.185,28.335
"2747",3,-98.45,45.945
"2748",2,-99.56,48.875
"2749",0,-99.79,47.54
"2750",2,-97.84,44.515
"2751",2,-103.67,38.6
"2752",2,-103.63,38.365
"2753",1,-98.325,41.795
"2754",1,-97.475,43.04
"2755",3,-97.415,43.535
"2756",1,-97.35,43.63
"2757",1,-97.165,43.645
"2758",2,-97.195,44.06
"2759",1,-97.085,44.3
"2760",2,-100.535,41.73
"2761",1,-94.365,43.315
"2762",1,-99.7,39.885
"2763",1,-99.24,40.34
"2764",1,-99.22,38.195
"2765",1,-91.625,37.67
"2766",0,-100.855,33.91
"2767",2,-98.54,40.29
"2768",3,-98.625,37.835
"2769",1,-94.24,38.795
"2770",2,-94.315,38.995
"2771",2,-91.75,41.96
"2772",2,-88.025,41.95
"2773",2,-90.05,35.915
"2774",4,-101.865,34.06
"2775",2,-96.2,37.51
"2776",3,-100.135,34.885
"2777",3,-97.78,37.865
"2778",1,-95.475,38.6
"2779",3,-100.09,35.32
"2780",2,-97.29,43.15
"2781",4,-97.15,43.2
"2782",2,-96.95,43.095
"2783",3,-96.19,42.835
"2784",2,-102,32.9
"2785",2,-102.785,34.02
"2786",2,-102.71,33.775
"2787",2,-100.185,45.905
"2788",2,-102.725,41.55
"2789",1,-103.465,34.81
"2790",2,-103.14,33.98
"2791",1,-102.295,33.4
"2792",1,-101.96,34.6
"2793",1,-98.965,42.21
"2794",3,-97.645,43.195
"2795",1,-98.115,44.35
"2796",2,-97.775,43.235
"2797",3,-96.3,40.685
"2798",1,-95.725,40.7
"2799",2,-88.275,44.175
"2800",1,-92.035,32.545
"2801",2,-83.64,33.525
"2802",2,-104.735,46.6
"2803",3,-104.035,44.235
"2804",3,-104.15,44.25
"2805",3,-103.935,44.235
"2806",2,-85.425,41.125
"2807",1,-70.76,42.69
"2808",2,-72.4,41.95
"2809",0,-97.55,46.565
"2810",2,-84.31,41.515
"2811",1,-92.24,43.405
"2812",2,-91.875,43.245
"2813",2,-91.34,43.045
"2814",2,-93.25,41.86
"2815",4,-92.15,42.275
"2816",0,-97.525,35.39
"2817",1,-90.365,38.205
"2818",2,-86.085,43.05
"2819",2,-95.81,42.085
"2820",1,-86.8,34.19
"2821",3,-89.65,40.74
"2822",2,-88.45,40.47
"2823",2,-86.935,40.365
"2824",1,-93.325,45.395
"2825",2,-103.075,36.415
"2826",0,-99.6,35.695
"2827",0,-97.45,37.16
"2828",2,-97.11,37.91
"2829",2,-93.495,39.125
"2830",2,-93.725,41.05
"2831",2,-92.535,40.775
"2832",2,-79.175,34.01
"2833",2,-79.35,35.665
"2834",1,-75.39,38.33
"2835",1,-98.435,26.22
"2836",0,-122.93,46.08
"2837",0,-122.93,46.08
"2838",0,-122.93,46.08
"2839",2,-88.725,41.16
"2840",2,-88.125,41.485
"2841",2,-89.215,41.225
"2842",3,-87.44,41.56
"2843",2,-82.925,41.035
"2844",3,-83.44,39.5
"2845",2,-81.19,40.815
"2846",2,-81.735,40.015
"2847",2,-79.6,40.1
"2848",3,-90.475,36.065
"2849",2,-86.375,40.135
"2850",3,-86.205,40.04
"2851",3,-85.495,39.88
"2852",1,-84.71,40.515
"2853",2,-85.7,37.11
"2854",2,-84.895,38.04
"2855",1,-83.49,38.57
"2856",2,-82.41,40.065
"2857",2,-86.375,33.6
"2858",2,-94.35,32.475
"2859",2,-97.95,34.555
"2860",2,-83.17,33.93
"2861",0,-82.19,31.35
"2862",5,-88.985,32.775
"2863",5,-89.45,32.5
"2864",5,-87.885,33.095
"2865",2,-88.375,42.64
"2866",3,-96.265,29.415
"2867",4,-81.735,28.175
"2868",2,-81.69,28.025
"2869",3,-95.72,35.935
"2870",2,-95.175,35.87
"2871",3,-92.365,34.415
"2872",1,-99.91,36.365
"2873",1,-99.28,31.15
"2874",1,-100.41,28.815
"2875",0,-98.48,29.73
"2876",3,-94.735,38.945
"2877",1,-97.55,32.07
"2878",2,-92.575,42.465
"2879",3,-92.475,41.965
"2880",2,-92.12,42.885
"2881",2,-90.29,43.69
"2882",2,-93.735,36.415
"2883",0,-88.875,38.295
"2884",2,-95.57,32.33
"2885",2,-95.28,32.95
"2886",3,-97.87,28.82
"2887",1,-94.32,32.59
"2888",1,-94.5,32.75
"2889",2,-89.895,32.985
"2890",1,-89.05,30.62
"2891",2,-96.225,34.95
"2892",4,-96.45,34.295
"2893",3,-95.95,34.925
"2894",2,-101.85,34.08
"2895",1,-101.78,34.15
"2896",3,-97.15,39.665
"2897",3,-95.71,39.185
"2898",2,-94.255,37.47
"2899",2,-95.605,36.175
"2900",1,-84.975,32.475
"2901",1,-97.75,30.855
"2902",1,-97.79,30.84
"2903",2,-97.8,30.83
"2904",1,-97.79,30.84
"2905",0,-84.425,33.67
"2906",1,-97.675,40.975
"2907",2,-96.7,41.145
"2908",1,-99.185,46.585
"2909",2,-95.16,40.46
"2910",2,-88.5,43.225
"2911",2,-96.92,33.72
"2912",2,-91.225,41.625
"2913",2,-91.15,40.995
"2914",1,-96.17,33.6
"2915",1,-96.17,33.6
"2916",2,-99.73,28.775
"2917",2,-96.29,43.065
"2918",2,-88.325,45.035
"2919",2,-88.28,44.965
"2920",2,-88.25,44.9
"2921",0,-97.84,36.48
"2922",0,-98.075,36.285
"2923",1,-97.89,36.325
"2924",2,-88.45,36.985
"2925",0,-80.215,25.765
"2926",2,-97.085,39.175
"2927",3,-96.77,39.17
"2928",5,-95.75,39
"2929",2,-94.955,39.25
"2930",4,-95.005,39.22
"2931",2,-101.44,34.465
"2932",1,-95.895,47.2
"2933",4,-93.6,46.73
"2934",2,-93.45,41.62
"2935",3,-96.985,33.315
"2936",1,-106.475,41.335
"2937",2,-95.375,29.825
"2938",2,-103.215,43.69
"2939",1,-96.04,47.265
"2940",1,-98.035,45.34
"2941",1,-100.99,37.925
"2942",1,-95.5,43.525
"2943",0,-92.385,45.2
"2944",1,-93.35,45.165
"2945",2,-93.44,45.11
"2946",2,-83.275,30.79
"2947",1,-81.53,31.2
"2948",1,-95.485,43.54
"2949",2,-90.65,42.5
"2950",1,-90.625,42.485
"2951",1,-95.36,45.66
"2952",2,-95.06,46.38
"2953",2,-90.915,44.44
"2954",1,-89.41,44.075
"2955",2,-90.465,42.725
"2956",0,-102.515,44.635
"2957",2,-105.51,44.265
"2958",2,-103.425,43.95
"2959",3,-99.275,45.86
"2960",3,-99.445,46
"2961",3,-99.25,45.86
"2962",2,-98.485,45.44
"2963",1,-87.825,43.79
"2964",0,-101.555,35.97
"2965",2,-72.015,44.035
"2966",2,-73.19,42.065
"2967",2,-73.265,42.04
"2968",2,-73.155,42.075
"2969",2,-72.59,42.235
"2970",1,-97.745,44.22
"2971",2,-89.805,43.51
"2972",2,-76.95,41.3
"2973",1,-117.025,43.9
"2974",1,-97.515,36.675
"2975",3,-81.5,41.45
"2976",2,-80.265,34.235
"2977",1,-81.665,29.43
"2978",2,-83.98,39.69
"2979",2,-93.56,43.65
"2980",5,-93.59,42.86
"2981",1,-93.145,37.675
"2982",3,-93.165,41.325
"2983",2,-92.685,37.975
"2984",2,-92.6,38.59
"2985",2,-92.485,38.125
"2986",2,-93.7,41.665
"2987",2,-92.635,38.365
"2988",1,-92.045,38.55
"2989",2,-92.455,37.55
"2990",2,-92.95,42.405
"2991",2,-92.15,37.805
"2992",3,-90.495,38.79
"2993",2,-78.44,35.9
"2994",2,-77.975,37.1
"2995",2,-118.25,33.875
"2996",1,-91.1,34.45
"2997",3,-88.495,34.95
"2998",2,-86.875,34.255
"2999",2,-87.74,31.025
"3000",2,-86.425,32.285
"3001",3,-90.755,37.865
"3002",2,-94.905,39.64
"3003",3,-94.15,39.175
"3004",1,-92.985,40.32
"3005",4,-92.38,40.54
"3006",4,-92.4,40.49
"3007",4,-92.25,40.63
"3008",2,-91.35,41.325
"3009",3,-91.275,40.685
"3010",2,-91.215,40.725
"3011",2,-90.89,40.885
"3012",3,-89.98,42.09
"3013",1,-90.135,40.125
"3014",3,-90.175,40.145
"3015",3,-89.145,42.675
"3016",2,-89.35,40.685
"3017",4,-90.335,38.75
"3018",2,-88.225,40.115
"3019",2,-98.79,35.555
"3020",2,-95.36,36.51
"3021",2,-94.135,37.045
"3022",1,-76.575,38.34
"3023",3,-93.05,34.49
"3024",2,-92.28,34.71
"3025",4,-86.995,33.74
"3026",2,-87.515,32.44
"3027",3,-84.325,36.745
"3028",2,-82.795,36.19
"3029",2,-79.85,34.08
"3030",1,-80.765,38.185
"3031",2,-92.065,43.205
"3032",1,-90.86,43.675
"3033",2,-90.155,43.65
"3034",1,-90.085,40.74
"3035",1,-93.795,43.515
"3036",1,-93.81,43.5
"3037",1,-93.885,43.485
"3038",0,-95.675,36.275
"3039",1,-98.25,34.375
"3040",2,-95.1,34.19
"3041",2,-104.325,42.045
"3042",2,-102.3,33.945
"3043",2,-97.415,31.095
"3044",2,-95.2,32.265
"3045",2,-95.9,32.5
"3046",1,-94.1,30.71
"3047",2,-95.825,31.67
"3048",1,-83.695,43.34
"3049",3,-89.705,42.635
"3050",3,-91.965,40.8
"3051",1,-97.615,45.015
"3052",1,-94.315,38.35
"3053",2,-96.55,35.165
"3054",0,-81.21,37.675
"3055",2,-94.025,40.045
"3056",3,-93.66,39.535
"3057",2,-93.345,40.12
"3058",2,-93.205,39.665
"3059",4,-92.645,39.84
"3060",2,-93.155,39.13
"3061",2,-91.64,40.975
"3062",2,-90.16,41.455
"3063",2,-89.92,41.53
"3064",4,-88.675,42.285
"3065",2,-89.425,41.625
"3066",1,-89.225,41.7
"3067",4,-88.185,42.185
"3068",2,-85.585,38.885
"3069",1,-87.935,41.935
"3070",4,-87.69,41.7
"3071",2,-86.005,42.6
"3072",3,-85.635,42.925
"3073",2,-85.315,42.76
"3074",2,-84.9,42.875
"3075",4,-84.69,42.975
"3076",2,-84.63,42.665
"3077",2,-92.8,37.17
"3078",1,-84.91,32.78
"3079",2,-98.16,26.29
"3080",2,-94.005,42.65
"3081",2,-94.73,43.43
"3082",2,-94.6,43.21
"3083",2,-93.75,43.225
"3084",3,-93.36,43.14
"3085",2,-91.295,40.65
"3086",4,-93.07,43.365
"3087",3,-93.135,43.45
"3088",2,-93.42,44.05
"3089",3,-93.625,43.8
"3090",4,-93.145,43.51
"3091",4,-93.145,43.475
"3092",4,-93.325,43.835
"3093",4,-93.12,43.535
"3094",4,-93.5,43.96
"3095",2,-92.89,43.65
"3096",2,-92.29,43.965
"3097",2,-95.05,30.81
"3098",3,-92.9,30.695
"3099",2,-101.375,35.275
"3100",2,-101.985,36.03
"3101",3,-86.8,33.46
"3102",2,-93.78,32.835
"3103",2,-91.75,34.525
"3104",2,-87.84,37.48
"3105",2,-89.355,35.89
"3106",2,-86.165,36.385
"3107",2,-86.06,33.415
"3108",1,-84.89,31.325
