"","ab_id","px","pz","des","pitch_id","id","type","stand","batter","hit"
"8921",1601983,0.886,2.012,"Foul",6075657,167,"S","R",425509,0
"8922",1601994,-0.126,2.131,"In play, out(s)",6075697,455,"X","R",425509,0
"8923",1602807,0.49,3.165,"In play, out(s)",6078989,504,"X","R",425509,0
"8924",1602823,-1.419,2.937,"Foul",6079047,336,"S","R",425509,0
"8925",1602852,-0.68,1.82,"Foul Tip",6079167,208,"S","R",425509,0
"8926",1602861,0.264,1.847,"In play, out(s)",6079202,25,"X","R",425509,0
"8927",1604300,0.741,1.872,"In play, out(s)",6084622,39,"X","R",425509,0
"8928",1604808,-0.809,1.609,"Foul",6086701,539,"S","R",425509,0
"8929",1604808,-1.314,3.15,"Foul",6086703,541,"S","R",425509,0
"8930",1604823,-0.045,2.782,"In play, no out",6086759,434,"X","R",425509,1
"8931",1604833,0.798,0.872,"Swinging Strike",6086807,282,"S","R",425509,0
"8932",1604859,-1.095,3.169,"In play, no out",6086892,161,"X","R",425509,1
"8933",1605478,0.576,1.553,"Swinging Strike",6089387,522,"S","R",425509,0
"8934",1605484,0.34,1.705,"Swinging Strike",6089401,58,"S","R",425509,0
"8935",1605506,-0.195,2.224,"In play, out(s)",6089473,286,"X","R",425509,0
"8936",1605525,0.711,3.158,"Swinging Strike",6089543,395,"S","R",425509,0
"8937",1606812,-0.024,2.198,"Foul",6094438,71,"S","R",425509,0
"8938",1606844,0.593,1.829,"Swinging Strike",6094558,375,"S","R",425509,0
"8939",1624558,0.892,1.355,"Swinging Strike",6162720,240,"S","R",425509,0
"8940",1624558,-0.786,2.158,"Foul (Runner Going)",6162724,247,"S","R",425509,0
"8941",1626067,0.399,2.17,"Foul",6168401,70,"S","R",425509,0
"8942",1626067,0.23,2.285,"Swinging Strike",6168404,73,"S","R",425509,0
"8943",1626067,-1.002,1.627,"Swinging Strike",6168406,75,"S","R",425509,0
"8944",1626076,0.425,2.039,"In play, out(s)",6168440,523,"X","R",425509,0
"8945",1626087,-0.195,2.436,"In play, no out",6168475,322,"X","R",425509,1
"8946",1626105,-0.01,2.821,"Foul",6168559,175,"S","R",425509,0
"8947",1627663,0.125,1.936,"Foul",6174477,545,"S","R",425509,0
"8948",1627663,0.324,1.716,"In play, out(s)",6174478,546,"X","R",425509,0
"8949",1627669,-0.326,3.454,"Foul",6174504,226,"S","R",425509,0
"8950",1627669,-0.365,2.247,"Foul",6174506,228,"S","R",425509,0
"8951",1627669,0.096,2.239,"Swinging Strike",6174508,230,"S","R",425509,0
"8952",1627680,-0.303,2.7,"In play, out(s)",6174547,25,"X","R",425509,0
"8953",1627859,0.437,2.639,"Foul",6175400,494,"S","R",425509,0
"8954",1627903,0.159,3.188,"Swinging Strike",6175577,208,"S","R",425509,0
"8955",1627903,-1.011,2.87,"Foul",6175579,210,"S","R",425509,0
"8956",1627903,0.906,2.295,"In play, out(s)",6175580,211,"X","R",425509,0
"8957",1628297,0.255,1.808,"Foul",6177024,343,"S","R",425509,0
"8958",1628297,0.379,1.372,"Foul",6177026,345,"S","R",425509,0
"8959",1628297,1.203,2.406,"In play, out(s)",6177030,349,"X","R",425509,0
"8960",1628305,0.469,2.151,"Swinging Strike",6177068,206,"S","R",425509,0
"8961",1628330,-0.412,2.564,"Foul",6177148,66,"S","R",425509,0
"8962",1628340,-0.7,2.596,"Foul",6177186,83,"S","R",425509,0
"8963",1628381,-0.45,2.57,"Foul",6177336,422,"S","R",425509,0
"8964",1628393,-0.257,0.691,"Swinging Strike (Blocked)",6177380,201,"S","R",425509,0
"8965",1628381,-0.45,2.57,"Foul",6177706,419,"S","R",425509,0
"8966",1628381,-0.905,2.26,"In play, no out",6177707,420,"X","R",425509,1
"8967",1628568,0.482,3.121,"Swinging Strike",6178088,567,"S","R",425509,0
"8968",1628568,-0.473,2.827,"In play, out(s)",6178090,569,"X","R",425509,0
"8969",1628603,0.274,2.266,"In play, out(s)",6178234,400,"X","R",425509,0
"8970",1628733,0.755,1.549,"Foul",6178761,113,"S","R",425509,0
"8971",1628742,-0.292,3.342,"Swinging Strike",6178799,543,"S","R",425509,0
"8972",1628742,0.809,1.36,"Swinging Strike",6178801,545,"S","R",425509,0
"8973",1628742,-0.082,2.346,"In play, out(s)",6178803,547,"X","R",425509,0
"8974",1628757,0.596,3.189,"Foul",6178856,372,"S","R",425509,0
"8975",1628782,0.576,2.078,"In play, no out",6178940,219,"X","R",425509,1
"8976",1628871,0.339,3.272,"In play, out(s)",6179294,91,"X","R",425509,0
"8977",1628961,0.999,1.98,"Swinging Strike",6179603,390,"S","R",425509,0
"8978",1628961,-0.064,2.302,"In play, out(s)",6179605,392,"X","R",425509,0
"8979",1628975,-0.89,3.051,"In play, out(s)",6179656,159,"X","R",425509,0
"8980",1629007,-0.434,1.18,"Swinging Strike",6179794,39,"S","R",425509,0
"8981",1629007,0.3,2.397,"In play, out(s)",6179795,40,"X","R",425509,0
"8982",1629110,0.613,2.4,"In play, out(s)",6180144,299,"X","R",425509,0
"8983",1631258,0.901,1.23,"Swinging Strike",6188366,450,"S","R",425509,0
"8984",1631284,-0.003,1.935,"In play, out(s)",6188472,165,"X","R",425509,0
"8985",1631309,0.681,1.811,"Swinging Strike",6188564,38,"S","R",425509,0
"8986",1632605,0.027,1.677,"Foul",6193510,172,"S","R",425509,0
"8987",1634770,-0.027,2.793,"Foul",6201660,67,"S","R",425509,0
"8988",1636442,0.582,2.19,"In play, out(s)",6207814,61,"X","R",425509,0
"8989",1636472,0.991,3.071,"Swinging Strike",6207908,328,"S","R",425509,0
"8990",1637596,-0.161,3.172,"In play, out(s)",6212230,613,"X","R",425509,0
"8991",1637638,-0.828,2.55,"Foul",6212404,167,"S","R",425509,0
"8992",1637646,0.313,1.552,"Swinging Strike",6212440,452,"S","R",425509,0
"8993",1637646,0.007,3.343,"Swinging Strike",6212442,454,"S","R",425509,0
"8994",1637662,0.2,2.643,"Foul",6212504,25,"S","R",425509,0
"8995",1637662,-0.711,1.971,"Swinging Strike",6212506,27,"S","R",425509,0
"8996",1638424,0.561,2.271,"In play, out(s)",6215469,601,"X","R",425509,0
"8997",1638432,-0.773,3.009,"In play, no out",6215484,105,"X","R",425509,1
"8998",1638450,0.909,2.666,"Foul",6215540,317,"S","R",425509,0
"8999",1638450,0.061,1.82,"Foul",6215542,319,"S","R",425509,0
"9000",1638450,-0.94,1.516,"Swinging Strike",6215543,320,"S","R",425509,0
"9001",1638469,-1.037,2.495,"Foul",6215615,199,"S","R",425509,0
"9002",1638469,-0.262,3.521,"Foul",6215616,200,"S","R",425509,0
"9003",1640310,0.034,2.199,"Foul",6222562,338,"S","R",425509,0
"9004",1640310,-0.965,2.085,"Foul",6222564,340,"S","R",425509,0
"9005",1640310,-0.988,1.39,"Swinging Strike",6222565,341,"S","R",425509,0
"9006",1640337,-0.285,2.131,"In play, out(s)",6222660,494,"X","R",425509,0
"9007",1640342,-1.228,3.125,"In play, no out",6222681,247,"X","R",425509,1
"9008",1640357,0.35,2.797,"In play, out(s)",6222730,68,"X","R",425509,0
"9009",1641106,-0.74,2.75,"Foul",6225898,501,"S","R",425509,0
"9010",1641106,-0.53,2.08,"Foul",6225899,502,"S","R",425509,0
"9011",1641106,0.19,1.71,"Foul",6225900,503,"S","R",425509,0
"9012",1641106,-0.71,2.19,"Foul",6225902,505,"S","R",425509,0
"9013",1641106,0.23,2.32,"In play, out(s)",6225903,506,"X","R",425509,0
"9014",1661089,-0.643,2.837,"Foul",6302382,613,"S","R",425509,0
"9015",1663730,0.396,1.327,"In play, out(s)",6313150,496,"X","R",425509,0
"9016",1668696,0.454,1.482,"Swinging Strike",6331715,324,"S","R",425509,0
"9017",1668696,1.302,2.324,"Foul",6331717,326,"S","R",425509,0
"9018",1668714,-0.66,1.618,"Swinging Strike",6331787,191,"S","R",425509,0
"9019",1668938,0.972,2.482,"In play, out(s)",6332625,233,"X","R",425509,0
"9020",1668964,0.192,2.969,"Foul",6332741,71,"S","R",425509,0
"9021",1670786,0.015,2.073,"In play, out(s)",6339618,67,"X","R",425509,0
"9022",1671136,-0.295,3.27,"Foul",6340933,417,"S","R",425509,0
"9023",1671186,0.678,2.91,"Foul",6341117,265,"S","R",425509,0
"9024",1671186,-0.259,2.12,"Foul",6341121,269,"S","R",425509,0
"9025",1671186,-0.679,1.769,"Foul",6341123,271,"S","R",425509,0
"9026",1671186,-0.039,1.768,"Swinging Strike",6341125,273,"S","R",425509,0
"9027",1671192,-0.125,2.889,"In play, out(s)",6341147,732,"X","R",425509,0
"9028",1671218,0.277,2.608,"Foul",6341239,142,"S","R",425509,0
"9029",1671218,0.548,2.885,"Foul",6341241,144,"S","R",425509,0
"9030",1671229,-0.488,3.32,"In play, no out",6341283,27,"X","R",425509,1
"9031",1691231,-0.007,1.963,"Foul",6424016,498,"S","R",425509,0
"9032",1693001,-0.713,3.145,"In play, out(s)",6424668,397,"X","R",425509,0
"9033",1693026,0.313,2.068,"Foul",6424764,227,"S","R",425509,0
"9034",1693593,-0.163,1.232,"Swinging Strike",6426940,493,"S","R",425509,0
"9035",1693593,0.173,1.224,"Swinging Strike",6426944,497,"S","R",425509,0
"9036",1693609,-1.134,2.155,"Swinging Strike",6427016,322,"S","R",425509,0
"9037",1693634,0.093,3.238,"Foul",6427102,177,"S","R",425509,0
"9038",1693643,-0.508,2.829,"In play, out(s)",6427140,19,"X","R",425509,0
"9039",1695421,-0.172,2.174,"Foul",6433856,287,"S","R",425509,0
"9040",1695466,0.328,2.289,"In play, out(s)",6434052,17,"X","R",425509,0
